Table 1
"Hyrjet e shtetasve të huaj  sipas  rajoneve, 2018-2023",,,,,,,,,,,,
"Arrivals of foreign citizens according  to regions,  2018-2023",,,,,,,,,,,,
,,,,,,,,,,,,
Numër,,,,,,,Number,,,,,
Përshkrimi ,2018,2019,2020,2021,2022,2023,Description,,,,,
Gjiithsej,"5,926,803","6,406,038","2,657,818","5,688,649","7,543,817","10,155,640",Total,,,,,
I . Afrika ,"3,457","24,264","1,650","3,157","4,614","11,120",I Africa,,,,,
II. Amerika ,"148,846","156,726","30,020","115,833","177,419","240,925",II  America,,,,,
III.Azia Lindore dhe Paqësori              ,"68,134","68,183","5,033","8,425","26,840","66,689",III.East Asia and Pacific                ,,,,,
IV.Lindja e Mesme,"7,174","11,707","1,813","36,959","41,862","40,446",IV.Middle East,,,,,
V.   Azia e Jugut    ,"3,115","13,523",801,"21,001","10,908","15,324",V.   South Asia  ,,,,,
VI. Evropa,"5,331,616","5,796,063","2,616,908","5,172,845","6,921,733","9,727,538",VI. Europe,,,,,
 - Evropa Qëndrore / Lindore         ,"362,083","393,368","92,326","363,483","429,301","643,332",- Central /Eastern Europe         ,,,,,
 - Europa Veriore             ,"212,248","234,956","65,173","127,767","258,367","380,476", - Northen Europe             ,,,,,
 - Europa Jugore                 ,"4,301,996","4,636,197","2,335,914","4,331,888","5,661,878","7,743,693", - Southern Europe                 ,,,,,
 - Evropa Perëndimore           ,"357,411","417,163","95,211","293,054","468,743","744,821", - Western Europe         ,,,,,
 - Europa Lindore / Mesdheut ,"97,878","114,379","28,284","56,653","103,444","215,216", - East/ Mediterranean Evuope,,,,,
VII. Rajone të paspecifikuara,"364,461","335,572","1,593","330,429","360,441","53,598",VII Other countries not  specified ,,,,,
,,,,,,,,,,,,
Shënim: Të dhënat janë riklasifikuar bazuar në kategorizimin sipas rajoneve nga Organizata Botërore e Turizmit (OBT),,,,,,,,,,,,
Note: Data has been reclassified based on the categorization by region according to the World Tourism Organization (WTO),,,,,,,,,,,,
https://www.e-unwto.org/doi/epdf/10.18111/9789284423606 ,,,,,,,,,,,,
,,,,,,,,,,,,
"Burimi: Drejtoria e Përgjithshme e Policisë së Shtetit, llogaritjet INSTAT",,,,,,,,,,,,
"Source: General Directorate of State's Police, INSTAT calculations ",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TE  TJERE,,,,,,,,,,,,
