"Date","Price","Open","High","Low","Change %"
"Jan 01, 2010","137.805","137.310","137.835","137.250","0.07"
"Jan 04, 2010","137.875","137.290","138.035","136.630","0.05"
"Jan 05, 2010","137.800","137.360","138.610","136.840","-0.05"
"Jan 06, 2010","138.000","137.250","138.470","136.830","0.15"
"Jan 07, 2010","138.265","137.490","138.615","136.870","0.19"
"Jan 08, 2010","138.065","137.680","138.365","136.860","-0.14"
"Jan 11, 2010","138.640","137.530","138.690","137.380","0.42"
"Jan 12, 2010","138.245","137.800","138.815","137.470","-0.28"
"Jan 13, 2010","138.880","138.010","139.320","137.680","0.46"
"Jan 14, 2010","139.040","138.270","139.380","137.980","0.12"
"Jan 15, 2010","138.420","138.380","139.230","137.050","-0.45"
"Jan 18, 2010","138.020","137.300","138.650","137.160","-0.29"
"Jan 19, 2010","137.785","137.230","138.625","136.380","-0.17"
"Jan 20, 2010","137.865","136.840","138.025","135.630","0.06"
"Jan 21, 2010","137.945","137.420","138.585","136.430","0.06"
"Jan 22, 2010","138.295","137.340","138.715","137.230","0.25"
"Jan 25, 2010","138.815","137.290","139.385","137.140","0.38"
"Jan 26, 2010","138.515","137.950","138.815","137.590","-0.22"
"Jan 27, 2010","138.405","138.120","138.795","137.770","-0.08"
"Jan 28, 2010","139.060","138.170","139.330","137.330","0.47"
"Jan 29, 2010","138.995","138.690","139.285","138.100","-0.05"
"Feb 01, 2010","138.895","138.650","139.485","138.270","-0.07"
"Feb 02, 2010","139.475","138.440","139.595","138.230","0.42"
"Feb 03, 2010","138.965","139.040","139.825","138.450","-0.37"
"Feb 04, 2010","138.670","138.600","139.240","137.690","-0.21"
"Feb 05, 2010","138.515","138.130","139.115","137.310","-0.11"
"Feb 08, 2010","138.535","137.900","139.095","137.600","0.01"
"Feb 09, 2010","138.600","137.970","139.310","137.680","0.05"
"Feb 10, 2010","139.090","137.980","139.530","137.870","0.35"
"Feb 11, 2010","138.855","138.300","139.645","137.590","-0.17"
"Feb 12, 2010","138.290","138.300","139.040","137.320","-0.41"
"Feb 15, 2010","138.855","137.690","139.195","137.330","0.41"
"Feb 16, 2010","138.855","138.320","139.375","138.030","0.00"
"Feb 17, 2010","138.175","138.310","139.295","137.470","-0.49"
"Feb 18, 2010","139.120","137.660","139.210","137.170","0.68"
"Feb 19, 2010","138.705","137.550","138.955","136.660","-0.30"
"Feb 22, 2010","138.705","138.390","139.055","137.720","0.00"
"Feb 23, 2010","138.355","138.210","139.015","137.510","-0.25"
"Feb 24, 2010","138.630","138.030","139.200","137.620","0.20"
"Feb 25, 2010","139.145","138.110","139.285","137.490","0.37"
"Feb 26, 2010","139.280","138.610","139.810","137.950","0.10"
"Mar 01, 2010","139.295","138.770","139.545","138.090","0.01"
"Mar 02, 2010","138.990","138.430","139.440","138.190","-0.22"
"Mar 03, 2010","139.470","138.580","139.980","138.550","0.35"
"Mar 04, 2010","139.745","138.920","139.845","138.360","0.20"
"Mar 05, 2010","139.625","139.210","139.965","138.270","-0.09"
"Mar 08, 2010","139.455","139.140","140.305","138.470","-0.12"
"Mar 09, 2010","139.250","139.030","139.660","138.560","-0.15"
"Mar 10, 2010","139.295","138.710","139.805","138.610","0.03"
"Mar 11, 2010","139.400","139.280","139.810","138.550","0.08"
"Mar 12, 2010","139.810","138.930","139.940","138.550","0.29"
"Mar 15, 2010","139.705","139.410","139.935","138.520","-0.08"
"Mar 16, 2010","139.685","139.090","140.125","138.750","-0.01"
"Mar 17, 2010","139.630","139.230","140.090","138.770","-0.04"
"Mar 18, 2010","139.550","139.260","140.100","138.360","-0.06"
"Mar 19, 2010","138.850","138.940","139.760","137.980","-0.50"
"Mar 22, 2010","139.065","138.200","139.215","137.560","0.15"
"Mar 23, 2010","138.500","138.560","139.450","137.650","-0.41"
"Mar 24, 2010","138.695","137.800","139.185","136.900","0.14"
"Mar 25, 2010","138.720","138.180","139.060","137.520","0.02"
"Mar 26, 2010","139.205","138.150","139.555","137.790","0.35"
"Mar 29, 2010","139.525","139.650","140.245","138.250","0.23"
"Mar 30, 2010","138.840","138.970","139.710","138.170","-0.49"
"Mar 31, 2010","139.000","138.260","139.650","138.140","0.12"
"Apr 01, 2010","139.340","138.510","139.530","138.050","0.24"
"Apr 02, 2010","139.280","138.310","139.410","138.100","-0.04"
"Apr 05, 2010","138.850","138.580","139.400","138.310","-0.31"
"Apr 06, 2010","138.455","138.540","139.285","137.780","-0.28"
"Apr 07, 2010","138.800","138.020","139.390","137.760","0.25"
"Apr 08, 2010","138.930","138.230","139.060","137.330","0.09"
"Apr 09, 2010","138.875","138.330","138.915","137.810","-0.04"
"Apr 12, 2010","138.725","139.810","140.985","137.750","-0.11"
"Apr 13, 2010","138.745","138.290","139.185","137.990","0.01"
"Apr 14, 2010","138.555","138.350","139.145","137.790","-0.14"
"Apr 15, 2010","138.420","138.120","138.700","137.790","-0.10"
"Apr 16, 2010","138.465","138.190","138.935","137.760","0.03"
"Apr 19, 2010","138.805","137.700","138.855","137.310","0.25"
"Apr 20, 2010","138.150","138.420","138.760","137.470","-0.47"
"Apr 21, 2010","138.390","137.940","139.270","137.370","0.17"
"Apr 22, 2010","137.685","137.680","139.465","136.770","-0.51"
"Apr 23, 2010","138.110","137.170","138.340","136.370","0.31"
"Apr 26, 2010","138.100","137.190","138.780","137.080","-0.01"
"Apr 27, 2010","137.985","137.320","138.615","137.090","-0.08"
"Apr 28, 2010","137.935","137.230","138.195","136.380","-0.04"
"Apr 29, 2010","137.155","137.370","138.195","136.650","-0.57"
"Apr 30, 2010","138.030","136.840","138.320","136.660","0.64"
"May 03, 2010","137.420","138.070","138.680","136.400","-0.44"
"May 04, 2010","136.730","136.790","137.780","136.120","-0.50"
"May 05, 2010","135.950","136.140","137.570","135.090","-0.57"
"May 06, 2010","136.580","135.470","137.120","134.550","0.46"
"May 07, 2010","136.970","135.940","137.070","135.230","0.29"
"May 10, 2010","135.685","138.330","139.305","135.030","-0.94"
"May 11, 2010","135.795","135.370","136.835","134.180","0.08"
"May 12, 2010","136.195","135.320","136.725","134.930","0.29"
"May 13, 2010","136.345","135.740","136.755","135.580","0.11"
"May 14, 2010","136.085","135.820","136.785","135.310","-0.19"
"May 17, 2010","137.025","135.480","137.075","134.220","0.69"
"May 18, 2010","134.915","136.680","137.335","134.100","-1.54"
"May 19, 2010","137.265","134.330","137.295","133.910","1.74"
"May 20, 2010","136.860","136.840","138.320","135.540","-0.30"
"May 21, 2010","137.055","136.370","139.075","135.930","0.14"
"May 24, 2010","137.055","136.250","137.515","135.550","0.00"
"May 25, 2010","137.875","136.440","137.955","135.720","0.60"
"May 26, 2010","136.800","137.640","138.220","136.000","-0.78"
"May 27, 2010","137.405","136.200","137.705","135.910","0.44"
"May 28, 2010","137.060","136.800","137.950","136.170","-0.25"
"May 31, 2010","137.275","136.550","137.945","136.320","0.16"
"Jun 01, 2010","135.750","136.750","137.760","135.130","-1.11"
"Jun 02, 2010","136.975","134.920","137.455","134.680","0.90"
"Jun 03, 2010","136.895","136.330","137.905","136.050","-0.06"
"Jun 04, 2010","135.600","136.180","137.380","134.710","-0.95"
"Jun 07, 2010","136.135","134.610","136.775","133.830","0.39"
"Jun 08, 2010","136.110","135.590","136.560","135.170","-0.02"
"Jun 09, 2010","136.130","135.750","137.010","135.210","0.01"
"Jun 10, 2010","136.460","135.390","136.780","135.090","0.24"
"Jun 11, 2010","136.900","136.060","136.930","135.400","0.32"
"Jun 14, 2010","136.645","136.770","138.165","135.710","-0.19"
"Jun 15, 2010","136.540","136.160","137.130","135.700","-0.08"
"Jun 16, 2010","136.625","136.070","137.245","135.720","0.06"
"Jun 17, 2010","136.670","136.000","137.200","135.760","0.03"
"Jun 18, 2010","136.905","136.080","137.535","135.960","0.17"
"Jun 21, 2010","137.065","136.700","137.275","136.040","0.12"
"Jun 22, 2010","137.130","136.620","137.380","136.040","0.05"
"Jun 23, 2010","137.810","136.550","138.130","135.980","0.50"
"Jun 24, 2010","137.260","137.470","138.410","136.290","-0.40"
"Jun 25, 2010","137.100","136.470","137.400","136.210","-0.12"
"Jun 28, 2010","136.945","136.550","137.295","136.060","-0.11"
"Jun 29, 2010","136.380","136.410","136.910","135.620","-0.41"
"Jun 30, 2010","136.770","136.100","137.260","135.570","0.29"
"Jul 01, 2010","137.290","135.980","137.520","135.740","0.38"
"Jul 02, 2010","137.225","136.920","137.615","136.090","-0.05"
"Jul 05, 2010","137.140","136.580","137.350","136.110","-0.06"
"Jul 06, 2010","136.755","136.540","137.075","135.920","-0.28"
"Jul 07, 2010","136.685","136.510","137.195","135.830","-0.05"
"Jul 08, 2010","136.615","136.160","136.885","135.930","-0.05"
"Jul 09, 2010","136.440","136.440","136.950","135.710","-0.13"
"Jul 12, 2010","136.425","136.220","136.685","135.520","-0.01"
"Jul 13, 2010","136.455","136.140","136.745","135.630","0.02"
"Jul 14, 2010","136.395","136.150","136.775","135.620","-0.04"
"Jul 15, 2010","136.140","135.980","136.710","135.340","-0.19"
"Jul 16, 2010","136.160","135.600","136.600","135.450","0.01"
"Jul 19, 2010","135.885","135.750","136.685","134.920","-0.20"
"Jul 20, 2010","135.150","135.270","136.310","133.980","-0.54"
"Jul 21, 2010","134.760","134.440","135.480","133.140","-0.29"
"Jul 22, 2010","134.965","134.010","135.595","133.920","0.15"
"Jul 23, 2010","136.205","134.380","136.475","134.120","0.92"
"Jul 26, 2010","135.295","135.640","136.805","134.200","-0.67"
"Jul 27, 2010","135.300","134.300","135.830","134.220","0.00"
"Jul 28, 2010","135.655","134.760","136.265","134.490","0.26"
"Jul 29, 2010","136.225","135.040","136.945","134.900","0.42"
"Jul 30, 2010","136.090","135.380","137.680","135.280","-0.10"
"Aug 02, 2010","135.610","135.630","136.500","134.530","-0.35"
"Aug 03, 2010","136.240","135.060","136.830","134.660","0.46"
"Aug 04, 2010","136.260","135.450","136.490","135.210","0.01"
"Aug 05, 2010","136.630","135.790","136.880","135.210","0.27"
"Aug 06, 2010","136.535","135.740","137.015","135.260","-0.07"
"Aug 09, 2010","135.865","135.820","136.245","135.050","-0.49"
"Aug 10, 2010","136.515","135.550","137.025","134.620","0.48"
